geneName	h1_T0	h1_T12	h2_T0	h2_T12
AP1S1	149	235	133	291
AP1S3	5	3	5	4
AP2A1	670	783	682	819
AP2A2	633	541	480	471
AP2B1	1053	973	869	1069
AP2M1	3652	5616	4037	7366
AP2S1	442	757	606	1270
AP3B1	540	901	419	584
AP3B2	6	1	9	13
AP3D1	714	1423	597	1347
AP3M1	544	647	455	420
AP3M2	131	97	77	95
AP3S1	66	77	42	58
AP4B1	118	222	122	185
AP4E1	407	320	306	162
AP4M1	151	124	167	174
AP4S1	10	9	6	5
APAF1	211	437	157	243
APBA1	67	118	31	28
APBA2	5	3	7	15
APBA3	76	73	56	95
APBB1	309	272	404	260
APBB1IP	82	105	63	116
APBB2	468	640	216	386
APBB3	204	110	156	102
APC	661	1476	391	550
APC2	55	31	55	46
APCDD1	169	32	204	10
APCDD1L	167	537	251	1254
APCS	0	0	0	0
APEH	392	585	409	725
APEX1	919	1301	891	1771
APEX2	28	44	34	61
APH1A	1091	1200	1109	1436
APH1B	304	180	240	108
API5	89	146	79	78
APIP	12	9	23	15
APLF	36	8	17	5
APLN	11	27	5	110
APLP1	95	70	209	152
APLP2	10728	9612	11472	11291
APOA1BP	153	193	193	355
APOA2	0	0	0	0
APOA4	0	0	0	0
APOA5	1	0	2	1
APOB	0	0	0	0
APOBEC1	0	0	0	0
APOBEC2	0	0	0	0
APOBEC3C	266	111	269	173
APOBEC3H	0	0	0	0
APOBEC4	0	0	0	0
APOC3	0	0	0	0
APOD	116	76	230	582
APOE	29	15	4	4
APOF	0	0	0	0
APOL2	42	21	38	35
APOM	16	32	38	27
APOO	15	21	12	16
APOOL	0	0	0	0
APP	12492	9301	9425	6733
APPBP2	224	258	128	123
APPL2	1272	1272	1248	1363
APRT	227	294	213	508
APTX	243	314	209	370
AQP1	63	121	459	838
AQP11	7	5	5	1
AQP2	0	0	1	0
AQP3	6	6	4	2
AQP4	0	0	0	0
AQP5	0	0	0	0
AQP6	1	0	0	0
AQP8	0	0	0	0
AQP9	3	3	5	3
AQR	408	543	274	351
AR	6	0	1	0
ARAF	129	116	143	168
ARAP1	596	353	542	422
ARAP2	0	0	1	0
ARAP3	161	33	90	21
ARC	1	3	5	1
ARCN1	2316	5305	2360	4506
ARF1	620	1114	777	1422
ARF5	539	525	749	1173
ARF6	584	728	711	723
ARFGAP1	204	542	209	493
ARFGAP2	534	636	598	784
ARFGEF1	768	916	491	330
ARFGEF2	884	1253	570	642
ARFIP1	409	610	401	441
ARFIP2	406	553	385	677
ARFRP1	66	131	73	145
ARG1	1	1	0	0
ARG2	504	586	544	571
ARGLU1	1782	1149	1295	492
ARHGAP1	799	1341	950	1753
ARHGAP10	113	189	115	170
ARHGAP11A	31	52	31	18
ARHGAP12	483	307	293	123
ARHGAP15	0	0	0	1
ARHGAP17	481	533	621	671
ARHGAP18	365	1347	245	388
ARHGAP20	17	3	1	1
ARHGAP21	116	111	93	59
ARHGAP24	428	554	200	294
ARHGAP25	1	0	1	0
ARHGAP26	100	9	104	23
ARHGAP27	37	11	21	3
ARHGAP28	50	5	30	2
ARHGAP29	3211	4749	2398	1508
ARHGAP31	562	836	237	409
ARHGAP32	76	34	52	40
ARHGAP33	30	7	17	7
ARHGAP35	1414	1055	941	859
ARHGAP36	0	0	0	0
ARHGAP39	44	36	47	42
ARHGAP4	11	2	8	4
ARHGAP40	0	0	0	0
ARHGAP42	9	10	5	6
ARHGAP44	17	18	12	6
ARHGAP5	559	308	506	117
ARHGAP6	15	0	4	1
ARHGAP9	6	1	4	1
ARHGDIA	1879	3285	2484	4915
ARHGDIB	0	6	0	2
ARHGDIG	2	3	0	11
ARHGEF10	575	574	499	450
ARHGEF10L	315	280	413	410
ARHGEF11	683	622	531	497
ARHGEF12	2376	1984	1521	970
ARHGEF15	0	0	0	0
ARHGEF16	5	11	3	15
ARHGEF18	151	130	108	109
ARHGEF19	37	48	63	144
ARHGEF2	1653	772	1650	654
ARHGEF25	211	108	166	114
ARHGEF26	10	4	11	5
ARHGEF3	84	13	48	27
ARHGEF33	5	0	7	0
ARHGEF37	36	12	47	19
ARHGEF4	140	104	284	285
ARHGEF40	1097	870	970	965
ARHGEF5	10	3	7	2
ARHGEF6	86	24	48	19
ARHGEF7	498	473	424	512
ARHGEF9	572	289	448	182
ARID1A	633	630	521	454
ARID1B	713	623	583	403
ARID2	342	302	236	152
ARID3A	53	77	40	71
ARID3B	0	1	0	1
ARID3C	2	0	1	1
ARID4A	369	278	230	82
ARID4B	854	885	539	389
ARID5A	67	76	69	154
ARID5B	2514	1707	1905	1127
ARL1	417	898	401	550
ARL10	31	66	41	91
ARL11	0	0	0	0
ARL13A	1	0	0	0
ARL13B	142	158	96	64
ARL14	0	0	0	0
ARL15	174	140	92	59
ARL2BP	603	990	736	1052
ARL3	200	204	190	166
ARL4C	1241	314	803	253
ARL4D	576	273	788	367
ARL5A	330	600	252	176
ARL5B	395	388	201	121
ARL6	51	81	23	28
ARL6IP4	537	663	676	1158
ARL6IP5	1575	761	1481	754
ARL6IP6	137	103	138	68
ARL8A	147	131	146	140
ARL9	0	0	1	0
ARMC1	100	160	64	87
ARMC10	47	51	36	48
ARMC2	32	23	22	17
ARMC3	0	0	0	0
ARMC4	74	4	134	13
ARMC5	16	11	7	11
ARMC6	192	386	177	425
ARMC7	8	8	5	7
ARMC8	260	340	175	202
