geneName	h1_P	h2_P	h1_T12	h2_T12
ANTXR2	1155	944	1015	316
ANXA1	4839	6561	5149	1300
ANXA10	0	0	2	0
ANXA11	999	1401	863	1066
ANXA13	0	0	0	0
ANXA3	5	3	4	3
ANXA4	525	611	638	657
ANXA5	9965	9059	12130	13522
ANXA7	908	975	999	995
ANXA9	12	21	5	11
AOAH	0	0	0	0
AOC2	22	21	20	12
AOC3	16	13	5	4
AOX1	363	183	817	332
AP001178.1	0	0	0	0
AP003068.6.1	4	8	3	10
AP1AR	76	75	69	24
AP1B1	325	396	593	548
AP1G1	1103	1036	1530	1062
AP1G2	120	164	140	109
AP1M1	235	316	303	378
AP1S1	170	234	235	291
AP1S3	0	7	3	4
AP2A1	707	854	783	819
AP2A2	601	601	541	471
AP2B1	1055	1132	973	1069
AP2M1	5698	6339	5616	7366
AP2S1	753	926	757	1270
AP3B1	769	761	901	584
AP3B2	1	23	1	13
AP3D1	844	745	1423	1347
AP3M1	481	453	647	420
AP3M2	119	101	97	95
AP3S1	59	49	77	58
AP4B1	132	177	222	185
AP4E1	357	319	320	162
AP4M1	147	199	124	174
AP4S1	5	6	9	5
APAF1	286	269	437	243
APBA1	69	40	118	28
APBA2	3	16	3	15
APBA3	55	60	73	95
APBB1	320	527	272	260
APBB1IP	122	135	105	116
APBB2	562	339	640	386
APBB3	119	138	110	102
APC	795	883	1476	550
APC2	29	46	31	46
APCDD1	81	29	32	10
APCDD1L	1374	2817	537	1254
APCS	0	0	0	0
APEH	441	606	585	725
APEX1	923	1035	1301	1771
APEX2	32	34	44	61
APH1A	874	983	1200	1436
APH1B	230	169	180	108
API5	127	59	146	78
APIP	13	16	9	15
APLF	31	31	8	5
APLN	28	22	27	110
APLP1	79	120	70	152
APLP2	9463	13020	9612	11291
APOA1BP	132	159	193	355
APOA2	0	0	0	0
APOA4	0	0	0	0
APOA5	0	12	0	1
APOB	0	0	0	0
APOBEC1	0	0	0	0
APOBEC2	0	0	0	0
APOBEC3C	148	190	111	173
APOBEC3H	0	0	0	0
APOBEC4	0	0	0	0
APOC3	1	0	0	0
APOD	66	60	76	582
APOE	19	3	15	4
APOF	1	0	0	0
APOL2	41	26	21	35
APOM	14	22	32	27
APOO	12	13	21	16
APOOL	0	0	0	0
APP	7322	5892	9301	6733
APPBP2	250	167	258	123
APPL2	1365	1493	1272	1363
APRT	226	283	294	508
APTX	232	200	314	370
AQP1	88	170	121	838
AQP11	5	10	5	1
AQP2	0	0	0	0
AQP3	2	8	6	2
AQP4	0	0	0	0
AQP5	0	0	0	0
AQP6	0	1	0	0
AQP8	0	0	0	0
AQP9	1	2	3	3
AQR	416	398	543	351
AR	4	0	0	0
ARAF	122	140	116	168
ARAP1	507	555	353	422
ARAP2	0	0	0	0
ARAP3	59	66	33	21
ARC	2	2	3	1
ARCN1	3433	3189	5305	4506
ARF1	739	938	1114	1422
ARF5	459	684	525	1173
ARF6	550	654	728	723
ARFGAP1	281	252	542	493
ARFGAP2	469	520	636	784
ARFGEF1	742	600	916	330
ARFGEF2	967	720	1253	642
ARFIP1	528	565	610	441
ARFIP2	347	360	553	677
ARFRP1	103	111	131	145
ARG1	0	0	1	0
ARG2	565	554	586	571
ARGLU1	838	934	1149	492
ARHGAP1	1183	1352	1341	1753
ARHGAP10	153	162	189	170
ARHGAP11A	97	170	52	18
ARHGAP12	322	376	307	123
ARHGAP15	0	1	0	1
ARHGAP17	538	830	533	671
ARHGAP18	541	705	1347	388
ARHGAP20	2	1	3	1
ARHGAP21	135	146	111	59
ARHGAP24	775	658	554	294
ARHGAP25	3	1	0	0
ARHGAP26	56	111	9	23
ARHGAP27	19	18	11	3
ARHGAP28	10	5	5	2
ARHGAP29	1441	1459	4749	1508
ARHGAP31	747	491	836	409
ARHGAP32	75	59	34	40
ARHGAP33	9	45	7	7
ARHGAP35	1792	1322	1055	859
ARHGAP36	1	0	0	0
ARHGAP39	34	41	36	42
ARHGAP4	4	3	2	4
ARHGAP40	0	0	0	0
ARHGAP42	10	11	10	6
ARHGAP44	32	13	18	6
ARHGAP5	338	351	308	117
ARHGAP6	6	6	0	1
ARHGAP9	3	4	1	1
ARHGDIA	2423	3760	3285	4915
ARHGDIB	4	0	6	2
ARHGDIG	3	2	3	11
ARHGEF10	522	629	574	450
ARHGEF10L	248	476	280	410
ARHGEF11	637	595	622	497
ARHGEF12	2184	1846	1984	970
ARHGEF15	0	0	0	0
ARHGEF16	16	26	11	15
ARHGEF18	115	115	130	109
ARHGEF19	56	126	48	144
ARHGEF2	1264	1171	772	654
ARHGEF25	109	92	108	114
ARHGEF26	3	16	4	5
ARHGEF3	41	55	13	27
ARHGEF33	6	5	0	0
ARHGEF37	8	26	12	19
ARHGEF4	57	140	104	285
ARHGEF40	1030	1168	870	965
ARHGEF5	4	5	3	2
ARHGEF6	50	31	24	19
ARHGEF7	398	413	473	512
ARHGEF9	314	233	289	182
ARID1A	638	706	630	454
ARID1B	643	631	623	403
ARID2	325	287	302	152
ARID3A	51	49	77	71
ARID3B	1	0	1	1
ARID3C	1	0	0	1
ARID4A	216	191	278	82
ARID4B	705	625	885	389
ARID5A	108	148	76	154
ARID5B	1420	931	1707	1127
ARL1	616	566	898	550
ARL10	30	27	66	91
ARL11	0	0	0	0
ARL13A	1	2	0	0
ARL13B	127	149	158	64
ARL14	0	0	0	0
ARL15	168	122	140	59
ARL2BP	652	722	990	1052
ARL3	137	157	204	166
ARL4C	873	492	314	253
ARL4D	310	299	273	367
ARL5A	404	358	600	176
ARL5B	264	190	388	121
ARL6	41	46	81	28
ARL6IP4	526	673	663	1158
ARL6IP5	945	895	761	754
ARL6IP6	95	127	103	68
ARL8A	123	159	131	140
ARL9	0	2	0	0
ARMC1	107	99	160	87
ARMC10	31	38	51	48
ARMC2	21	32	23	17
ARMC3	0	0	0	0
ARMC4	11	26	4	13
ARMC5	10	10	11	11
ARMC6	212	212	386	425
ARMC7	7	10	8	7
ARMC8	264	269	340	202
ARMC9	192	181	97	113
ARMCX1	47	57	60	64
ARMCX2	768	775	1021	793
ARMCX3	1479	1225	1637	910
ARMCX6	26	27	28	36
ARNT	533	546	507	438
ARNT2	122	118	98	42
ARNTL	204	125	485	512
ARNTL2	134	133	225	78
ARPC1A	256	284	297	275
ARPC1B	1044	1313	924	1328
ARPC2	3604	4358	5000	5644
ARPC4	1414	1618	1845	2736
ARPC5	42	54	72	54
ARPC5L	0	1	1	0
ARPP19	24	26	22	16
ARPP21	0	0	0	0
ARR3	1	3	0	4
ARRB1	37	6	33	3
ARRB2	18	25	10	17
ARRDC2	207	286	113	171
ARRDC3	1046	636	822	816
ARRDC4	293	283	564	386
ARRDC5	0	0	0	0
ARSA	232	276	266	312
ARSB	405	606	363	360
ARSG	31	24	41	31
ARSI	111	56	84	52
ARSJ	781	659	1438	937
ARSK	78	113	77	41
ART1	2	0	0	0
ART3	0	0	0	0
ART4	0	0	0	0
ART5	0	0	1	2
ARTN	4	5	2	1
ARV1	65	94	89	75
ARVCF	31	40	14	30
AS3MT	0	22	1	9
ASAH1	389	304	444	300
ASAP1	1342	1141	2012	878
ASAP2	761	765	1515	478
ASB1	210	273	341	340
ASB10	0	0	0	0
ASB11	0	0	0	0
ASB12	0	0	0	0
ASB13	15	20	25	36
ASB14	33	28	35	13
ASB15	0	0	0	0
ASB16	19	18	18	6
ASB17	0	0	0	0
ASB2	0	0	0	2
ASB3	110	130	137	138
ASB4	0	0	0	0
ASB5	2	1	0	1
ASB6	277	341	363	444
ASB7	194	161	162	126
ASB8	263	287	298	292
